Image: 78H00862(2).jpg  ---Failed--- Ground Trust: 78H00862   -   Predict: 76K3645
Image: 78C05205.jpg     ---Failed--- Ground Trust: 78C05205   -   Predict: 78E05205
Image: 78C03715.jpg     ---Failed--- Ground Trust: 78C03715   -   Predict: 79C03715
Image: 76C06323(2).jpg  ---Failed--- Ground Trust: 76C06323   -   Predict: 76C06322
Image: 78C01719(2).jpg  ---Failed--- Ground Trust: 78C01719   -   Predict: 79C01719
Image: 78C01719(3).jpg  ---Failed--- Ground Trust: 78C01719   -   Predict: 7EC01719
Image: 76C06181(1).jpg  ---Failed--- Ground Trust: 76C06181   -   Predict: 16C06181
Image: 81C17876.jpg     ---Failed--- Ground Trust: 81C17876   -   Predict: 81C17076
Image: 78C08223(3).jpg  ---Failed--- Ground Trust: 78C08223   -   Predict: 78C04223
Image: 77C19614(2).jpg  ---Failed--- Ground Trust: 77C19614   -   Predict: 77219614
Image: 78C01719(4).jpg  ---Failed--- Ground Trust: 78C01719   -   Predict: 76C0M719
Image: 76C06323(5).jpg  ---Failed--- Ground Trust: 76C06323   -   Predict: 76C06322
Image: 78C08223.jpg     ---Failed--- Ground Trust: 78C08223   -   Predict: 78CC8223
Image: 76C07683.jpg     ---Failed--- Ground Trust: 76C07683   -   Predict: 76C07693
Image: 78C00149(4).jpg  ---Failed--- Ground Trust: 78C00149   -   Predict: 7EC00149
Image: 36C17806.jpg     ---Failed--- Ground Trust: 36C17806   -   Predict: 36C11806
Image: 78C08280(2).jpg  ---Failed--- Ground Trust: 78C08280   -   Predict: 78C06280
Image: 76C02829(5).jpg  ---Failed--- Ground Trust: 76C02829   -   Predict: 76C02B29
Image: 78C09457(3).jpg  ---Failed--- Ground Trust: 78C09457   -   Predict: 78C0F457
Image: 78H00063.jpg     ---Failed--- Ground Trust: 78H00063   -   Predict: 78HC0063
Image: 92C08495.jpg     ---Failed--- Ground Trust: 92C08495   -   Predict: 92C0M495
Image: 77C19614.jpg     ---Failed--- Ground Trust: 77C19614   -   Predict: 77019614
Image: 78C01860(2).jpg  ---Failed--- Ground Trust: 78C01860   -   Predict: 7EC01860
Image: 76C08027(7).jpg  ---Failed--- Ground Trust: 76C08027   -   Predict: 77C08027
Image: 78C09457(2).jpg  ---Failed--- Ground Trust: 78C09457   -   Predict: 70C09457
Image: 92C14145(5).jpg  ---Failed--- Ground Trust: 92C14145   -   Predict: 90C14145
Image: 78C08148.jpg     ---Failed--- Ground Trust: 78C08148   -   Predict: 78C08848
Image: 76C06236(2).jpg  ---Failed--- Ground Trust: 76C06236   -   Predict: 16CK62C6
Image: 78C07624.jpg     ---Failed--- Ground Trust: 78C07624   -   Predict: 78E07624
Image: 78C07501(2).jpg  ---Failed--- Ground Trust: 78C07501   -   Predict: 72C07501
Image: 78C00149(2).jpg  ---Failed--- Ground Trust: 78C00149   -   Predict: 8C00149
Image: 92C15729.jpg     ---Failed--- Ground Trust: 92C15729   -   Predict: 92C35729
Image: 77C14622.jpg     ---Failed--- Ground Trust: 77C14622   -   Predict: 77C146221
Image: 78C08908.jpg     ---Failed--- Ground Trust: 78C08908   -   Predict: 78C09908
Image: 76C03667.jpg     ---Failed--- Ground Trust: 76C03667   -   Predict: 76C03867
Image: 78C07501(3).jpg  ---Failed--- Ground Trust: 78C07501   -   Predict: 72C07501
Image: 78C08513.jpg     ---Failed--- Ground Trust: 78C08513   -   Predict: 78CC6513
Image: 78C10416(2).jpg  ---Failed--- Ground Trust: 78C10416   -   Predict: 08C10416
Image: 82C00203.jpg     ---Failed--- Ground Trust: 82C00203   -   Predict: 82C0C403
------------------------------------------------------------------------------------------
Accuracy of private test --./data/private_test/GOOD/-- | 962 / 1000 = 96.2 %
Total error image is: 0. See logs here 👉 ---tests/error_val.txt---
