Image: 78H00862(2).jpg  ---Failed--- Ground Trust: 78H00862   -   Predict: 76K3645 
Image: 78C05205.jpg     ---Failed--- Ground Trust: 78C05205   -   Predict: 78E05205 
Image: 43C11130.jpg     ---Failed--- Ground Trust: 43C11130   -   Predict: 43C11100 
Image: 78C03715.jpg     ---Failed--- Ground Trust: 78C03715   -   Predict: 79C03715 
Image: 76C06323(2).jpg  ---Failed--- Ground Trust: 76C06323   -   Predict: 76C06322 
Image: 78C01719(2).jpg  ---Failed--- Ground Trust: 78C01719   -   Predict: 79C01719 
Image: 81C17876.jpg     ---Failed--- Ground Trust: 81C17876   -   Predict: 81C17076 
Image: 78C01719(4).jpg  ---Failed--- Ground Trust: 78C01719   -   Predict: 78C0M719 
Image: 76C06323(5).jpg  ---Failed--- Ground Trust: 76C06323   -   Predict: 76C06322 
Image: 78C05113(1).jpg  ---Failed--- Ground Trust: 78C05113   -   Predict: 79C05113 
Image: 76C07683.jpg     ---Failed--- Ground Trust: 76C07683   -   Predict: 76C07693 
Image: 76C02829(5).jpg  ---Failed--- Ground Trust: 76C02829   -   Predict: 76C02B29 
Image: 78H00063.jpg     ---Failed--- Ground Trust: 78H00063   -   Predict: 78HC0063 
Image: 92C08495.jpg     ---Failed--- Ground Trust: 92C08495   -   Predict: 92C00495 
Image: 77C19614.jpg     ---Failed--- Ground Trust: 77C19614   -   Predict: 77D19614 
Image: 78C01860(2).jpg  ---Failed--- Ground Trust: 78C01860   -   Predict: 7EC01860 
Image: 76C08027(7).jpg  ---Failed--- Ground Trust: 76C08027   -   Predict: 77C08027 
Image: 76C06152.jpg     ---Failed--- Ground Trust: 76C06152   -   Predict: 76C0652 
Image: 78C08148.jpg     ---Failed--- Ground Trust: 78C08148   -   Predict: 78C08848 
Image: 77C11712.jpg     ---Failed--- Ground Trust: 77C11712   -   Predict: 7C11712 
Image: 76C06236(2).jpg  ---Failed--- Ground Trust: 76C06236   -   Predict: 06C06236 
Image: 78C07624.jpg     ---Failed--- Ground Trust: 78C07624   -   Predict: 78E07624 
Image: 78H00996.jpg     ---Failed--- Ground Trust: 78H00996   -   Predict: 8H00996 
Image: 78C07501(2).jpg  ---Failed--- Ground Trust: 78C07501   -   Predict: 72C07501 
Image: 78C00149(2).jpg  ---Failed--- Ground Trust: 78C00149   -   Predict: 0C00149 
Image: 92C14796.jpg     ---Failed--- Ground Trust: 92C14796   -   Predict: 07C147S6 
Image: 77C14622.jpg     ---Failed--- Ground Trust: 77C14622   -   Predict: 77C146221 
Image: 62M1011.jpg      ---Failed--- Ground Trust: 62M1011    -   Predict: 62M111 
Image: 78C10416(2).jpg  ---Failed--- Ground Trust: 78C10416   -   Predict: 7HC10416 
Image: 82C00203.jpg     ---Failed--- Ground Trust: 82C00203   -   Predict: 82C0C403 
Image: 76C06496.jpg     ---Failed--- Ground Trust: 76C06496   -   Predict: 6CC6496 
------------------------------------------------------------------------------------------ 
Accuracy of private test --./data/private_test/GOOD/-- | 248 / 279 = 88.89 %
Total error image is: 0. See logs here 👉 ---tests/error_val.txt---
